jxt	 T_yCCW24	 T_yCW24	 T_yCCW28	 T_yCW28	 T_yCCW32	 T_yCW32
LitPIP	71.2125	46.8748	55.6962	80.3079	68.3028	85.6059
ThDIP	146.0780	119.9021	108.6708	173.7362	163.5472	192.3953
IndDIP	40.7036	40.0588	27.1989	60.1577	64.4970	68.0597
MidDIP	11.9287	9.7909	8.0005	9.9888	10.2908	15.0160
RinDIP	20.0184	13.9516	18.1283	16.8366	9.1870	14.3352
LitDIP	26.9258	17.7236	21.0590	30.3648	25.8256	32.3680
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	573.5437	470.3549	427.3272	681.6155	641.9560	755.2652
IndMCP_f	215.4470	212.0327	144.1953	318.4559	341.6966	360.2241
MidMCP_f	69.8155	57.2950	46.9155	58.5660	60.2899	87.9702
RinMMCP_fCP	108.4862	75.2464	98.1459	91.1083	49.7150	77.8253
LitMCP_f	132.3399	87.1343	103.7985	148.9184	126.7197	159.0069
ThPIP	374.4662	307.0944	279.0016	445.0263	419.1326	493.1121
IndPIP	92.6602	91.1917	62.0160	136.9625	146.9580	154.9264
MidPIP	30.1806	24.7681	20.2811	25.3175	26.0627	38.0287
RinPIP	54.7243	37.9570	49.5083	45.9583	25.0780	39.2578
LitPIP	71.3166	46.9558	55.9360	80.2506	68.2879	85.6872
ThDIP	146.2158	119.9094	108.9402	173.7670	163.6564	192.5428
IndDIP	40.7022	40.0572	27.2414	60.1626	64.5533	68.0535
MidDIP	11.9296	9.7902	8.0166	10.0074	10.3019	15.0318
RinDIP	20.0762	13.9249	18.1626	16.8603	9.2001	14.4021
LitDIP	26.9651	17.7542	21.1497	30.3431	25.8200	32.3987
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	574.0977	470.4093	428.4045	681.7477	642.4032	755.8583
IndMCP_f	215.4426	212.0379	144.4177	318.4878	342.0121	360.1963
MidMCP_f	69.8208	57.2923	47.0121	58.6767	60.3557	88.0632
RinMMCP_fCP	108.8034	75.1087	98.3351	91.2406	49.7851	78.1956
LitMCP_f	132.5375	87.2866	104.2572	148.8110	126.6917	159.1577
ThPIP	374.8279	307.1299	279.7050	445.1126	419.4246	493.4993
IndPIP	92.6582	91.1940	62.1116	136.9763	147.0937	154.9144
MidPIP	30.1828	24.7669	20.3229	25.3654	26.0912	38.0689
RinPIP	54.8843	37.8875	49.6037	46.0250	25.1134	39.4446
LitPIP	71.4231	47.0379	56.1831	80.1927	68.2728	85.7685
ThDIP	146.3570	119.9233	109.2149	173.8006	163.7704	192.6939
IndDIP	40.7014	40.0582	27.2834	60.1687	64.6129	68.0482
MidDIP	11.9305	9.7897	8.0331	10.0263	10.3132	15.0477
RinDIP	20.1349	13.8994	18.1976	16.8847	9.2131	14.4707
LitDIP	27.0054	17.7852	21.2431	30.3212	25.8143	32.4295
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	574.6652	470.4902	429.5024	681.8914	642.8697	756.4664
IndMCP_f	215.4408	212.0578	144.6378	318.5257	342.3456	360.1736
MidMCP_f	69.8260	57.2913	47.1110	58.7891	60.4219	88.1572
RinMMCP_fCP	109.1258	74.9775	98.5282	91.3772	49.8545	78.5744
LitMCP_f	132.7394	87.4411	104.7299	148.7025	126.6634	159.3087
ThPIP	375.1985	307.1827	280.4218	445.2064	419.7292	493.8963
IndPIP	92.6575	91.2025	62.2063	136.9926	147.2371	154.9046
MidPIP	30.1851	24.7665	20.3656	25.4140	26.1198	38.1095
RinPIP	55.0469	37.8213	49.7011	46.0939	25.1484	39.6357
LitPIP	71.5319	47.1211	56.4378	80.1342	68.2576	85.8498
ThDIP	146.5017	119.9439	109.4948	173.8373	163.8893	192.8490
IndDIP	40.7011	40.0619	27.3250	60.1758	64.6759	68.0440
MidDIP	11.9314	9.7896	8.0500	10.0455	10.3245	15.0637
RinDIP	20.1945	13.8751	18.2334	16.9100	9.2259	14.5408
LitDIP	27.0466	17.8167	21.3394	30.2991	25.8085	32.4602
ThMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
IndMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
MidMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
RinMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
LitMCP_a	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ThMCP_f	575.2462	470.5981	430.6211	682.0468	643.3561	757.0901
IndMCP_f	215.4417	212.0925	144.8554	318.5696	342.6978	360.1566
